City Population Area(km^2)
YOKOHAMA 3731293 437.56
OSAKA 2702033 225.21
NAGOYA 2304794 326.45
SAPPORO 1958398 1121.26
FUKUOKA 1553778 343.39
KOBE 1535765 557.02
KAWASAKI 1489477 143.00
KYOTO 1474735 827.83
SAITAMA 1275331 217.43
HIROSHIMA 1196380 906.53
SENDAI 1084674 786.30
CHIBA 973549 271.77
KITAKYUSHU 956243 491.95
SAKAI 837603 149.82
NIIGATA 807450 726.45
HAMAMATSU 797164 1558.06
KUMAMOTO 739606 390.32
SAGAMIHARA 721552 328.66
OKAYAMA 720571 789.95
SHIZUOKA 701803 1411.90
FUNABASHI 627073 85.62
KAGOSHIMA 599136 547.55
KAWAGUCHI 580942 61.95
HACHIOJI 578059 186.38
HIMEJI 534452 534.47
UTSUNOMIYA 519631 416.85
MATSUYAMA 513691 429.40
HIGASHIOSAKA 500463 61.78
NISHINOMIYA 488873 99.96
MATSUDO 486045 61.38
ICHIKAWA 486017 57.45
OITA 478586 502.39
KURASHIKI 477463 355.63
KANAZAWA 466189 468.64
FUKUYAMA 464617 518.14
AMAGASAKI 451708 50.72
MACHIDA 433552 71.80
FUJISAWA 426678 69.57
NAGASAKI 426578 405.86
TOYODA 424736 918.32
TAKAMATSU 420736 375.41
TOYAMA 418142 1241.77
KASHIWA 417294 114.74
GIFU 405582 203.60
YOKOSUKA 403730 100.83
HIRAKATA 402927 65.12
MIYAZAKI 399979 643.67
TOYONAKA 396014 36.39
OKAZAKI 383383 387.20
ICHINOMIYA 380717 113.82
SUITA 378322 36.09
NAGANO 376202 834.81
TOYOHASHI 374381 261.86
TAKASAKI 370958 459.16
WAKAYAMA 362163 208.84
NARA 358786 276.94
KAWAGOE 352173 109.13
TAKATSUKI 350914 105.29
IWAKI 348454 1232.02
TOKOROZAWA 341121 72.11
OTSU 340956 464.51
KOSHIGAYA 340043 60.24
ASAHIKAWA 337435 747.66
KORIYAMA 335546 757.20
MAEBASHI 335411 311.59
KOCHI 335263 309.00
NAHA 319870 39.57
AKITA 313668 906.07
YOKKAICHI 310674 206.44
KASUGAI 307144 92.78
KURUME 304972 229.96
MORIOKA 296701 886.47
AKASHI 293710 49.42
FUKUSHIMA 293186 767.72
AOMORI 284754 824.61
IBARAKI 281259 76.49
TSU 278674 711.11
ICHIHARA 273753 368.17
NAGAOKA 273396 891.06
MITO 271047 217.32
HACHIO 268498 41.72
KAKOGAWA 266443 138.48
SHIMONOSEKI 265684 715.93
FUKUI 265246 536.41
HAKODATE 263037 677.87
FUCHU 39495 29.43
TOKUSHIMA 258189 191.39
HIRATSUKA 258126 67.82
SASEBO 253910 426.06
YAMAGATA 253267 381.30
SOUKA 248053 27.46
FUJI 247510 244.95
MATSUMOTO 242848 978.47
CHIGASAKI 240046 35.70
NEYAGAWA 235686 24.70
SAGA 235625 431.84
YAMATO 233942 27.09
KASUKABE 232173 66.00
CHOUFU 231990 21.58
TSUKUBA 230398 283.72
HACHINOHE 229527 305.54
KURE 226582 352.80
ATSUGI 225541 93.84
TAKARAZUKA 225228 101.80
AGEO 225218 45.51
OTA 220591 175.54
ISESAKI 209149 139.44
MATSUE 205775 572.99
NISHITOKYO 200841 15.75
KUMAGAYA 197954 159.82
YAMAGUCHI 197261 1023.23
ITAMI 196947 25.00
SUZUKA 196373 194.46
JOUETSU 195475 973.81
NUMAZU 193954 186.96
YACHIYO 193855 51.39
KISHIWADA 193637 72.68
HIGASHIHIROSHIMA 193486 635.16
ODAWARA 193313 113.81
TOTTORI 192658 765.31
KOFU 192325 212.47
KODAIRA 191166 20.51
MITAKA 189380 16.42
HINO 187171 27.55
IZUMI 185968 84.98
ANJOU 185366 86.05
UJI 183711 67.54
TOYOKAWA 182931 161.14
HITACHI 182905 225.74
NAGAREYAMA 179083 35.32
TATIKAWA 178017 24.36
HIROSAKI 175900 524.20
KUSHIRO 172971 1362.90
SAKURA 172463 103.69
KAMAKURA 172337 39.67
IZUMO 172177 624.36
TOMAKOMAI 172170 561.57
TAKAOKA 171588 209.57
NARASHINO 171212 20.97
OBIHIRO 169073 619.34
NISHIO 168743 161.22
UBE 168398 286.65
OYAMA 166943 171.76
IWATA 166870 163.45
HATANO 166668 103.76
URAYASU 166347 17.30
MIYAKONOJOU 163965 653.36
NIIZA 163119 22.78
MATSUSAKA 162835 623.66
OGAKI 159616 206.57
TOCHIGI 158524 331.50
IMABARI 157032 419.14
UEDA 156383 552.04
HITACHINAKA 155884 99.93
KAWANISHI 155839 53.44
NODA 153339 103.55
KUKI 152140 82.41
SAYAMA 151817 48.99
KARIYA 150647 50.39
HIGASHIMURAYAMA 149942 17.14
KOMAKI 149351 62.81
YONAGO 149178 132.42
ASHIKAGA 148589 177.76
IRUMA 147984 44.69
TAMA 147284 21.01
ISHINOMAKI 146172 554.58
MUSASHINO 145343 10.98
KAGAMIHARA 144967 87.81
SHUNAN 143959 656.29
FUJIEDA 143602 194.06
FUKAYA 143376 138.37
MORIGUCHI 142459 12.71
FURUKAWA 140509 123.58
OKINAWA 140506 49.72
KUWANA 140432 136.68
TSUCHIURA 140226 122.89
YAIZU 138716 70.31
KUSATSU 138464 67.92
TODA 138275 18.19
MISATO 137844 30.13
ASAKA 137409 18.34
ONOMICHI 137346 285.11
ISAHAYA 137337 341.79
OUME 136785 103.31
INAZAWA 136611 79.35
IWAKUNI 135171 873.72
KISARAZU 134733 138.95
MINOO 134435 47.90
OSAKI 132554 796.76
NARITA 131573 213.84
ABIKO 131351 43.15
EBINA 130581 26.59
FUJINOMIYA 130326 389.08
ZAMA 128884 17.57
SETO 128679 111.40
IIZUKA 128543 214.07
TSURUOKA 128140 1311.53
ISE 126909 208.35
YATSUSHIRO 126758 681.36
KIRISHIMA 125447 603.18
NOBEOKA 123822 868.02
KASHIHARA 123640 39.56
KOKUBUNJI 123331 11.46
KADOMA 122916 12.30
AIZUWAKAMATSU 122882 382.97
KOGANEI 122783 11.30
DAITO 122524 18.27
KARATSU 121610 487.58
BEPPU 121305 125.34
EBETSU 120318 187.38
MATSUBARA 120253 16.66
KITAMI 120151 1427.41
ICHINOSEKI 120062 1256.42
OTARU 119808 243.83
URUMA 119307 87.02
NIIHAMA 119088 234.46
OUSHUU 118281 993.30
SANO 118156 356.04
IKOMA 118084 53.15
KOUNOSU 117823 67.44
NAGAHAMA 117266 681.02
HANDA 117032 47.42
NASUSHIOBARA 116833 592.74
HIGASHIKURUME 116530 12.88
OMUTA 116033 81.45
BOUFU 115428 189.37
HATSUKAICHI 114853 489.48
KAKEGAWA 114818 265.69
URAZOE 114207 19.48
HIGASHIOUMI 114026 388.37
HIKONE 113871 196.87
KIRYU 113189 274.45
TONDABAYASHI 112993 39.72
TOUKAI 112757 43.43
SANDA 112362 210.32
HABIKINO 111902 26.45
KAZO 111839 133.30
FUJIMINO 111676 14.64
AKISHIMA 111510 17.34
KASUGA 110648 14.15
MARUGAME 110048 111.79
MISHIMA 109970 62.02
TAJIMI 109797 91.25
HAKUSAN 109617 754.93
KAMAGAYA 108948 21.08
FUJIMI 108656 19.77
SAIJOU 107695 509.98
KOMATSU 106855 371.05
TORIDE 105985 69.94
